,x,y,MonthYear,Zscore,Year,Month,Hotspot Prob
126934,-70.10299,44.12448,2016-07-01,-0.163744,2016,7,50
126935,-70.10261,44.12448,2016-07-01,-0.27016,2016,7,50
126936,-70.10224,44.12448,2016-07-01,-0.339247,2016,7,50
126937,-70.10186,44.12448,2016-07-01,-0.2966735,2016,7,50
126938,-70.10149,44.12448,2016-07-01,-0.3056953,2016,7,50
126939,-70.10111,44.12448,2016-07-01,-0.3637401,2016,7,50
126940,-70.10074,44.12448,2016-07-01,-0.4377776,2016,7,50
126941,-70.10036,44.12448,2016-07-01,-0.5047914,2016,7,50
126942,-70.09999,44.12448,2016-07-01,-0.5769277,2016,7,50
126943,-70.09961,44.12448,2016-07-01,-0.6281415,2016,7,50
126944,-70.09924,44.12448,2016-07-01,-0.6611364,2016,7,50
126945,-70.09886,44.12448,2016-07-01,-0.6933465,2016,7,50
126946,-70.09849,44.12448,2016-07-01,-0.7152971,2016,7,50
126947,-70.09811,44.12448,2016-07-01,-0.7178361,2016,7,50
126948,-70.09774,44.12448,2016-07-01,-0.6909788,2016,7,50
126949,-70.09736,44.12448,2016-07-01,-0.6740657,2016,7,50
126950,-70.09699,44.12448,2016-07-01,-0.6923782,2016,7,50
126951,-70.09661,44.12448,2016-07-01,-0.7140216,2016,7,50
126952,-70.09624,44.12448,2016-07-01,-0.7438697,2016,7,50
126953,-70.09586,44.12448,2016-07-01,-0.753539,2016,7,50
126954,-70.09549,44.12448,2016-07-01,-0.7511765,2016,7,50
126955,-70.09511,44.12448,2016-07-01,-0.7494032,2016,7,50
126956,-70.09474,44.12448,2016-07-01,-0.765038,2016,7,50
126957,-70.09436,44.12448,2016-07-01,-0.8098127,2016,7,50
126958,-70.09399,44.12448,2016-07-01,-0.8836575,2016,7,50
126959,-70.09361,44.12448,2016-07-01,-0.9602625,2016,7,50
126960,-70.09324,44.12448,2016-07-01,-1.025118,2016,7,5
126961,-70.09286,44.12448,2016-07-01,-1.10476,2016,7,5
126962,-70.09249,44.12448,2016-07-01,-1.185941,2016,7,5
126963,-70.09211,44.12448,2016-07-01,-1.258555,2016,7,5
126964,-70.09174,44.12448,2016-07-01,-1.336818,2016,7,5
126965,-70.09136,44.12448,2016-07-01,-1.69439,2016,7,5
126966,-70.09099,44.12448,2016-07-01,-2.186683,2016,7,1
126967,-70.09061,44.12448,2016-07-01,-2.433079,2016,7,1
126968,-70.09024,44.12448,2016-07-01,-2.522001,2016,7,1
126969,-70.08986,44.12448,2016-07-01,-2.314445,2016,7,1
126970,-70.08949,44.12448,2016-07-01,-1.902821,2016,7,5
126971,-70.08911,44.12448,2016-07-01,-1.736425,2016,7,5
126972,-70.10711,44.12421,2016-07-01,-2.187984,2016,7,1
126973,-70.10674,44.12421,2016-07-01,-2.221118,2016,7,1
126974,-70.10636,44.12421,2016-07-01,-1.94774,2016,7,5
126975,-70.10599,44.12421,2016-07-01,-1.345328,2016,7,5
126976,-70.10561,44.12421,2016-07-01,-0.6001512,2016,7,50
126977,-70.10524,44.12421,2016-07-01,-0.1342668,2016,7,50
126978,-70.10486,44.12421,2016-07-01,0.008286964,2016,7,50
126979,-70.10449,44.12421,2016-07-01,0.02486574,2016,7,50
126980,-70.10411,44.12421,2016-07-01,-0.02933664,2016,7,50
126981,-70.10374,44.12421,2016-07-01,-0.1273378,2016,7,50
126982,-70.10336,44.12421,2016-07-01,-0.1886628,2016,7,50
126983,-70.10299,44.12421,2016-07-01,-0.2547745,2016,7,50
126984,-70.10261,44.12421,2016-07-01,-0.3552791,2016,7,50
126985,-70.10224,44.12421,2016-07-01,-0.3989011,2016,7,50
126986,-70.10186,44.12421,2016-07-01,-0.3354575,2016,7,50
126987,-70.10149,44.12421,2016-07-01,-0.3110835,2016,7,50
126988,-70.10111,44.12421,2016-07-01,-0.3528298,2016,7,50
126989,-70.10074,44.12421,2016-07-01,-0.4351505,2016,7,50
126990,-70.10036,44.12421,2016-07-01,-0.5039391,2016,7,50
126991,-70.09999,44.12421,2016-07-01,-0.5714651,2016,7,50
126992,-70.09961,44.12421,2016-07-01,-0.6167502,2016,7,50
126993,-70.09924,44.12421,2016-07-01,-0.6604032,2016,7,50
126994,-70.09886,44.12421,2016-07-01,-0.6925943,2016,7,50
126995,-70.09849,44.12421,2016-07-01,-0.7068182,2016,7,50
126996,-70.09811,44.12421,2016-07-01,-0.701826,2016,7,50
126997,-70.09774,44.12421,2016-07-01,-0.6931718,2016,7,50
126998,-70.09736,44.12421,2016-07-01,-0.670358,2016,7,50
126999,-70.09699,44.12421,2016-07-01,-0.6757986,2016,7,50
127000,-70.09661,44.12421,2016-07-01,-0.6661394,2016,7,50
127001,-70.09624,44.12421,2016-07-01,-0.6753946,2016,7,50
127002,-70.09586,44.12421,2016-07-01,-0.6855284,2016,7,50
127003,-70.09549,44.12421,2016-07-01,-0.6952212,2016,7,50
127004,-70.09511,44.12421,2016-07-01,-0.7082249,2016,7,50
127005,-70.09474,44.12421,2016-07-01,-0.7386606,2016,7,50
127006,-70.09436,44.12421,2016-07-01,-0.7966458,2016,7,50
127007,-70.09399,44.12421,2016-07-01,-0.8710028,2016,7,50
127008,-70.09361,44.12421,2016-07-01,-0.948616,2016,7,50
127009,-70.09324,44.12421,2016-07-01,-1.08705,2016,7,5
127010,-70.09286,44.12421,2016-07-01,-1.284325,2016,7,5
